,device_id,datetime,address_ip,address_port,original_message_id,status,lat,lat_dir,lon,lon_dir,spd_over_grnd,true_course,datestamp,mag_variation,mag_var_dir
47,st-1a2090,2019-02-13 10:39:38,172.23.0.1,4007,1550057978556-0,A,51.9010065,N,5.541886166666667,E,0.0,38.07,130219,1.4,E
48,st-1a2090,2019-02-13 10:39:39,172.23.0.1,4007,1550057979959-0,A,51.9010065,N,5.541886166666667,E,0.0,42.68,130219,1.4,E
49,st-1a2090,2019-02-13 10:39:40,172.23.0.1,4007,1550057980364-0,A,51.9010065,N,5.541886166666667,E,0.0,37.03,130219,1.4,E
50,st-1a2090,2019-02-13 10:39:40,172.23.0.1,4007,1550057980967-0,A,51.9010065,N,5.541886166666667,E,0.0,28.44,130219,1.4,E
51,st-1a2090,2019-02-13 10:39:41,172.23.0.1,4007,1550057981620-0,A,51.9010065,N,5.541886166666667,E,0.0,30.79,130219,1.4,E
52,st-1a2090,2019-02-13 10:39:41,172.23.0.1,4007,1550057981923-0,A,51.9010065,N,5.541886166666667,E,0.0,39.28,130219,1.4,E
53,st-1a2090,2019-02-13 10:39:42,172.23.0.1,4007,1550057982458-0,A,51.9010065,N,5.541886166666667,E,0.0,43.96,130219,1.4,E
54,st-1a2090,2019-02-13 10:39:42,172.23.0.1,4007,1550057982861-0,A,51.9010065,N,5.541886166666667,E,0.0,36.71,130219,1.4,E
55,st-1a2090,2019-02-13 10:39:43,172.23.0.1,4007,1550057983365-0,A,51.9010065,N,5.541886166666667,E,0.0,27.77,130219,1.4,E
56,st-1a2090,2019-02-13 10:39:44,172.23.0.1,4007,1550057984971-0,A,51.9010065,N,5.541886166666667,E,0.0,24.81,130219,1.4,E
57,st-1a2090,2019-02-13 10:39:45,172.23.0.1,4007,1550057985409-0,A,51.9010065,N,5.541886166666667,E,0.0,33.05,130219,1.4,E
58,st-1a2090,2019-02-13 10:41:21,172.23.0.1,4007,1550058081458-0,A,51.90100416666667,N,5.541886166666667,E,0.0,92.39,130219,1.4,E
59,st-1a2090,2019-02-13 10:41:22,172.23.0.1,4007,1550058082119-0,A,51.90100416666667,N,5.541886166666667,E,0.0,90.84,130219,1.4,E
60,st-1a2090,2019-02-13 10:41:22,172.23.0.1,4007,1550058082545-0,A,51.90100416666667,N,5.541886166666667,E,0.0,82.19,130219,1.4,E
61,st-1a2090,2019-02-13 10:41:22,172.23.0.1,4007,1550058082872-0,A,51.90100416666667,N,5.541886166666667,E,0.0,74.42,130219,1.4,E
62,st-1a2090,2019-02-13 10:41:23,172.23.0.1,4007,1550058083366-0,A,51.90100416666667,N,5.541886166666667,E,0.0,75.22,130219,1.4,E
63,st-1a2090,2019-02-13 10:41:23,172.23.0.1,4007,1550058083861-0,A,51.90100416666667,N,5.541886,E,0.0,72.32,130219,1.4,E
64,st-1a2090,2019-02-13 10:41:24,172.23.0.1,4007,1550058084365-0,A,51.90100416666667,N,5.541886,E,0.0,76.35,130219,1.4,E
65,st-1a2090,2019-02-13 10:41:32,172.23.0.1,4007,1550058092552-1,A,51.90100416666667,N,5.5418855,E,0.0,66.35,130219,1.4,E
66,st-1a2090,2019-02-13 10:41:33,172.23.0.1,4007,1550058093865-0,A,51.90100416666667,N,5.5418855,E,0.0,72.3,130219,1.4,E
67,st-1a2090,2019-02-13 10:41:34,172.23.0.1,4007,1550058094361-0,A,51.90100416666667,N,5.541885333333333,E,0.0,78.23,130219,1.4,E
68,st-1a2090,2019-02-13 10:41:35,172.23.0.1,4007,1550058095294-0,A,51.901004,N,5.541885333333333,E,0.0,69.03,130219,1.4,E
69,st-1a2090,2019-02-13 10:41:35,172.23.0.1,4007,1550058095965-0,A,51.901004,N,5.541885333333333,E,0.0,65.57,130219,1.4,E
